Purchase_ID,Invoice_ID,Invoice_Date,Supplier_ID,Supplier_Name,Category,Subcategory,Department,Region,Amount,Payment_Status,Contract_Compliance,PO_Status,Invoice_Processing_Days,Buyer_Name,Cost_Center,Risk_Level,Contract_Active,Compliance_Flag,Missing_PO_Flag,Delayed_Invoice_Flag,Risk_Flag,Inactive_Contract_Flag
P1362,INV1362,2024-05-30,S015,RapidRoute Shipping,Logistics,Ocean Freight,HR,West,24544.57,Paid,Yes,Available,3,Leo,CC104,High,Yes,OK,OK,OK,Flag,OK
P1364,INV1364,2024-07-09,S010,BlueWave Freight,Logistics,Shipping,HR,Northeast,29620.99,Paid,No,Available,7,Mark,CC104,High,Yes,Flag,OK,OK,Flag,OK
P1366,INV1366,2024-09-18,S019,ForgeLine Parts,Manufacturing,Tools,Supply Chain,West,3801.15,Overdue,Yes,Available,41,Ravi,CC113,High,Yes,OK,OK,Flag,OK,OK
P1367,INV1367,2024-10-09,S015,RapidRoute Shipping,Logistics,Express Delivery,Operations,South,13555.05,Pending,Yes,Available,37,John,CC106,High,Yes,OK,OK,Flag,Flag,OK
P1370,INV1370,2024-03-31,S019,ForgeLine Parts,Manufacturing,Machine Parts,Procurement,West,16613.77,Pending,Yes,Missing,14,Ravi,CC108,High,Yes,OK,Flag,OK,Flag,OK
P1372,INV1372,2024-06-21,S024,Titan Fabrication,Manufacturing,Packaging,Operations,North,14323.97,Paid,Yes,Available,8,Mark,CC105,High,No,OK,OK,OK,Flag,Flag
P1374,INV1374,2024-04-16,S026,Nova Precision,Manufacturing,Machine Parts,Admin,Northeast,9905.43,Overdue,Yes,Available,53,Emily,CC104,Medium,Yes,OK,OK,Flag,OK,OK
P1380,INV1380,2024-07-30,S004,FastClean Services,Facilities,Repairs,HR,East,12970.77,Paid,Yes,Missing,16,Nina,CC112,Low,Yes,OK,Flag,OK,OK,OK
P1381,INV1381,2024-02-28,S026,Nova Precision,Manufacturing,Packaging,Supply Chain,Northeast,28772.94,Overdue,Yes,Available,52,David,CC103,Medium,Yes,OK,OK,Flag,OK,OK
P1384,INV1384,2024-01-14,S030,DataSphere Tech,IT,Monitors,Supply Chain,South,22472.82,Overdue,Yes,Missing,33,Nina,CC108,High,Yes,OK,Flag,Flag,Flag,OK
P1386,INV1386,2024-12-16,S010,BlueWave Freight,Logistics,Last Mile,Facilities,North,13790.33,Paid,No,Available,5,David,CC112,High,Yes,Flag,OK,OK,Flag,OK
P1390,INV1390,2024-08-31,S021,Velocity Cargo,Logistics,Shipping,Admin,South,27768.83,Paid,No,Missing,19,Sara,CC105,High,Yes,Flag,Flag,OK,Flag,OK
P1391,INV1391,2024-03-26,S023,PaperTrail Office,Office Supplies,Paper,Procurement,Northeast,7278.71,Overdue,Yes,Available,33,Leo,CC112,Low,Yes,OK,OK,Flag,OK,OK
P1392,INV1392,2024-09-19,S008,GreenSource,Facilities,HVAC,Operations,South,4110.54,Paid,No,Available,18,Nina,CC114,Medium,Yes,Flag,OK,OK,OK,OK
P1396,INV1396,2024-07-03,S030,DataSphere Tech,IT,Servers,HR,North,5303.25,Paid,No,Available,3,Priya,CC114,High,Yes,Flag,OK,OK,OK,OK
P1397,INV1397,2024-09-08,S024,Titan Fabrication,Manufacturing,Calibration,Admin,East,2911.88,Paid,No,Available,20,Emily,CC111,High,No,Flag,OK,OK,OK,Flag
P1403,INV1403,2024-05-08,S006,OfficePro,Office Supplies,Breakroom Supplies,Engineering,East,3044.26,Paid,No,Available,7,Leo,CC112,Low,Yes,Flag,OK,OK,OK,OK
P1408,INV1408,2024-01-13,S025,SafeGrid Security,IT,Servers,Finance,South,23327.79,Pending,Yes,Missing,28,Priya,CC115,Medium,Yes,OK,Flag,OK,OK,OK
P1409,INV1409,2024-03-04,S008,GreenSource,Facilities,Repairs,Admin,North,415.41,Paid,No,Available,6,Emily,CC102,Medium,Yes,Flag,OK,OK,OK,OK
P1410,INV1410,2024-03-21,S019,ForgeLine Parts,Manufacturing,Tools,Finance,East,39818.52,Overdue,No,Available,36,Emily,CC113,High,Yes,Flag,OK,Flag,Flag,OK
P1411,INV1411,2024-03-21,S030,DataSphere Tech,IT,Security,Admin,East,18822.28,Paid,No,Missing,18,Sara,CC102,High,Yes,Flag,Flag,OK,Flag,OK
P1413,INV1413,2024-04-16,S021,Velocity Cargo,Logistics,Ocean Freight,Operations,North,12524.38,Paid,No,Available,16,Ravi,CC106,High,Yes,Flag,OK,OK,Flag,OK
P1414,INV1414,2024-01-14,S006,OfficePro,Office Supplies,Printers,HR,Midwest,4052.22,Overdue,Yes,Available,40,Emily,CC114,Low,Yes,OK,OK,Flag,OK,OK
P1417,INV1417,2024-03-22,S003,Prime Logistics,Logistics,Last Mile,HR,South,13886.73,Paid,No,Missing,11,Mark,CC103,High,No,Flag,Flag,OK,Flag,Flag
P1418,INV1418,2024-04-01,S010,BlueWave Freight,Logistics,Express Delivery,Technology,Midwest,30967.71,Paid,No,Available,19,Leo,CC104,High,Yes,Flag,OK,OK,Flag,OK
P1419,INV1419,2024-10-25,S024,Titan Fabrication,Manufacturing,Calibration,Supply Chain,South,9984.11,Paid,No,Available,20,Ravi,CC111,High,No,Flag,OK,OK,OK,Flag
P1420,INV1420,2024-05-24,S009,Apex Industrial,Manufacturing,Calibration,Operations,Northeast,16491.61,Paid,No,Available,13,Sara,CC113,Medium,Yes,Flag,OK,OK,OK,OK
P1421,INV1421,2024-04-04,S030,DataSphere Tech,IT,Monitors,Facilities,Midwest,27754.14,Paid,No,Available,9,Emily,CC113,High,Yes,Flag,OK,OK,Flag,OK
P1426,INV1426,2024-11-26,S007,SecureNet,IT,Monitors,Facilities,Northeast,1898.24,Paid,No,Available,3,Ana,CC102,High,Yes,Flag,OK,OK,OK,OK
P1428,INV1428,2024-03-14,S011,TechCore Systems,IT,Security,HR,East,21070.09,Paid,Yes,Missing,11,John,CC110,Medium,Yes,OK,Flag,OK,OK,OK
P1429,INV1429,2024-07-26,S010,BlueWave Freight,Logistics,Warehousing,Technology,West,21747.76,Pending,Yes,Available,12,Emily,CC106,High,Yes,OK,OK,OK,Flag,OK
P1430,INV1430,2024-05-03,S003,Prime Logistics,Logistics,Ocean Freight,Supply Chain,North,19406.93,Paid,Yes,Available,6,David,CC113,High,No,OK,OK,OK,Flag,Flag
P1431,INV1431,2024-11-11,S010,BlueWave Freight,Logistics,Express Delivery,Supply Chain,East,26619.11,Paid,Yes,Available,8,Sara,CC111,High,Yes,OK,OK,OK,Flag,OK
P1432,INV1432,2024-02-23,S007,SecureNet,IT,Cloud Services,Technology,East,25137.55,Paid,Yes,Available,15,Emily,CC109,High,Yes,OK,OK,OK,Flag,OK
P1439,INV1439,2024-09-02,S024,Titan Fabrication,Manufacturing,Maintenance Kits,Technology,West,31785.51,Pending,Yes,Missing,29,Ana,CC106,High,No,OK,Flag,OK,Flag,Flag
P1440,INV1440,2024-09-09,S015,RapidRoute Shipping,Logistics,Ocean Freight,HR,North,34782.67,Paid,Yes,Available,13,David,CC114,High,Yes,OK,OK,OK,Flag,OK
P1441,INV1441,2024-07-17,S007,SecureNet,IT,Monitors,Admin,North,19645.7,Paid,Yes,Missing,16,John,CC110,High,Yes,OK,Flag,OK,Flag,OK
P1442,INV1442,2024-01-18,S005,NextGen Components,Manufacturing,Consumables,Supply Chain,West,37518.63,Paid,Yes,Missing,17,Emily,CC115,Medium,Yes,OK,Flag,OK,OK,OK
P1444,INV1444,2024-05-06,S011,TechCore Systems,IT,Accessories,Engineering,West,22308.74,Paid,Yes,Missing,9,Mark,CC108,Medium,Yes,OK,Flag,OK,OK,OK
P1446,INV1446,2024-10-06,S021,Velocity Cargo,Logistics,Warehousing,Procurement,Northeast,21980.58,Paid,No,Missing,4,Nina,CC107,High,Yes,Flag,Flag,OK,Flag,OK
P1447,INV1447,2024-04-14,S026,Nova Precision,Manufacturing,Maintenance Kits,Engineering,North,11728.03,Paid,No,Available,3,David,CC102,Medium,Yes,Flag,OK,OK,OK,OK
P1448,INV1448,2024-09-20,S024,Titan Fabrication,Manufacturing,Packaging,Operations,Northeast,11278.52,Overdue,Yes,Available,36,Leo,CC115,High,No,OK,OK,Flag,Flag,Flag
P1450,INV1450,2024-10-29,S015,RapidRoute Shipping,Logistics,Shipping,Operations,South,25580.55,Pending,Yes,Missing,23,Priya,CC101,High,Yes,OK,Flag,OK,Flag,OK
P1452,INV1452,2024-03-04,S010,BlueWave Freight,Logistics,Express Delivery,Supply Chain,East,15009.55,Pending,No,Missing,29,Priya,CC104,High,Yes,Flag,Flag,OK,Flag,OK
P1454,INV1454,2024-06-14,S028,CoreOffice Depot,Office Supplies,Stationery,Admin,Northeast,1364.26,Overdue,Yes,Available,34,Nina,CC103,Low,Yes,OK,OK,Flag,OK,OK
P1456,INV1456,2024-05-26,S010,BlueWave Freight,Logistics,Express Delivery,Technology,North,23203.69,Pending,Yes,Available,24,Emily,CC101,High,Yes,OK,OK,OK,Flag,OK
P1458,INV1458,2024-03-07,S009,Apex Industrial,Manufacturing,Calibration,HR,West,21647.33,Paid,Yes,Missing,17,Priya,CC111,Medium,Yes,OK,Flag,OK,OK,OK
P1460,INV1460,2024-11-23,S003,Prime Logistics,Logistics,Freight,Operations,West,8440.24,Paid,No,Available,9,Ravi,CC108,High,No,Flag,OK,OK,OK,Flag
P1463,INV1463,2024-05-02,S023,PaperTrail Office,Office Supplies,Printers,Supply Chain,Midwest,7772.12,Pending,No,Available,25,David,CC113,Low,Yes,Flag,OK,OK,OK,OK
P1472,INV1472,2024-08-01,S019,ForgeLine Parts,Manufacturing,Packaging,Finance,North,1598.61,Paid,No,Available,3,Ravi,CC108,High,Yes,Flag,OK,OK,OK,OK
P1473,INV1473,2024-10-14,S021,Velocity Cargo,Logistics,Express Delivery,Operations,South,25500.61,Pending,Yes,Missing,22,David,CC111,High,Yes,OK,Flag,OK,Flag,OK
P1475,INV1475,2024-01-02,S030,DataSphere Tech,IT,Security,Supply Chain,East,9082.43,Pending,Yes,Available,36,Emily,CC109,High,Yes,OK,OK,Flag,OK,OK
P1477,INV1477,2024-10-20,S008,GreenSource,Facilities,Safety Supplies,Technology,North,6236.83,Paid,No,Available,5,Ravi,CC113,Medium,Yes,Flag,OK,OK,OK,OK
